Benchmark                          ,    Min(us)    ,    Avg(us)    ,    Max(us)    
batchverify_tweak_checks_32        ,     8.90      ,     8.93      ,     8.96   
batchverify_tweak_checks_39        ,     8.88      ,     8.90      ,     8.92   
batchverify_tweak_checks_47        ,     8.85      ,     8.89      ,     8.91   
batchverify_tweak_checks_57        ,     8.83      ,     8.86      ,     8.90   
batchverify_tweak_checks_69        ,     8.81      ,     8.83      ,     8.86   
batchverify_tweak_checks_83        ,     8.80      ,     8.82      ,     8.83   
batchverify_tweak_checks_100       ,     8.39      ,     8.41      ,     8.43   
batchverify_tweak_checks_121       ,     8.27      ,     8.28      ,     8.30   
batchverify_tweak_checks_146       ,     8.06      ,     8.09      ,     8.13   
batchverify_tweak_checks_176       ,     8.06      ,     8.09      ,     8.11   
batchverify_tweak_checks_212       ,     7.93      ,     7.95      ,     7.97   
batchverify_tweak_checks_255       ,     7.82      ,     7.84      ,     7.86   
batchverify_tweak_checks_307       ,     7.87      ,     7.89      ,     7.92   
batchverify_tweak_checks_369       ,     7.70      ,     7.72      ,     7.73   
batchverify_tweak_checks_443       ,     7.60      ,     7.62      ,     7.63   
batchverify_tweak_checks_532       ,     7.50      ,     7.52      ,     7.54   
batchverify_tweak_checks_639       ,     7.44      ,     7.47      ,     7.51   
batchverify_tweak_checks_767       ,     7.34      ,     7.37      ,     7.39   
batchverify_tweak_checks_921       ,     7.30      ,     7.32      ,     7.35   
batchverify_tweak_checks_1106      ,     7.32      ,     7.35      ,     7.38   
batchverify_tweak_checks_1328      ,     7.27      ,     7.30      ,     7.32   
batchverify_tweak_checks_1594      ,     7.22      ,     7.23      ,     7.24   
batchverify_tweak_checks_1913      ,     7.15      ,     7.17      ,     7.20   
batchverify_tweak_checks_2296      ,     7.12      ,     7.15      ,     7.18   
batchverify_tweak_checks_2756      ,     7.06      ,     7.09      ,     7.11   
batchverify_tweak_checks_3308      ,     7.01      ,     7.04      ,     7.05   
batchverify_tweak_checks_3970      ,     7.00      ,     7.02      ,     7.04   
batchverify_tweak_checks_4765      ,     6.94      ,     6.95      ,     6.96   
batchverify_tweak_checks_5719      ,     6.92      ,     6.94      ,     6.95   
batchverify_tweak_checks_6863      ,     6.87      ,     6.92      ,     6.95   
batchverify_tweak_checks_8236      ,     6.87      ,     6.92      ,     6.95   
batchverify_tweak_checks_9884      ,     6.88      ,     6.89      ,     6.90   
batchverify_tweak_checks_11861     ,     6.87      ,     6.90      ,     6.92   
batchverify_tweak_checks_14234     ,     6.86      ,     6.87      ,     6.88   
batchverify_tweak_checks_17081     ,     6.81      ,     6.81      ,     6.82   
batchverify_tweak_checks_20498     ,     6.79      ,     6.82      ,     6.83   
batchverify_tweak_checks_24598     ,     6.76      ,     6.78      ,     6.80   
batchverify_tweak_checks_29518     ,     6.73      ,     6.75      ,     6.76   
batchverify_tweak_checks_35422     ,     6.73      ,     6.75      ,     6.76   
batchverify_tweak_checks_42507     ,     6.74      ,     6.78      ,     6.84   
batchverify_tweak_checks_51009     ,     6.77      ,     6.80      ,     6.81   
batchverify_tweak_checks_61211     ,     6.78      ,     6.79      ,     6.80   
batchverify_tweak_checks_73454     ,     6.74      ,     6.76      ,     6.78   
batchverify_tweak_checks_88145     ,     6.69      ,     6.72      ,     6.74   
batchverify_tweak_checks_105775    ,     6.71      ,     6.71      ,     6.72   
batchverify_tweak_checks_126931    ,     6.70      ,     6.72      ,     6.76   
batchverify_tweak_checks_152318    ,     6.72      ,     6.74      ,     6.76   
batchverify_tweak_checks_182782    ,     6.69      ,     6.72      ,     6.74   
batchverify_tweak_checks_219339    ,     6.71      ,     6.73      ,     6.73   
batchverify_tweak_checks_263207    ,     6.70      ,     6.71      ,     6.71   
batchverify_tweak_checks_315849    ,     6.74      ,     6.77      ,     6.82   
batchverify_tweak_checks_379019    ,     6.67      ,     6.76      ,     6.82   
batchverify_tweak_checks_454823    ,     6.78      ,     6.80      ,     6.80   
batchverify_tweak_checks_545788    ,     6.75      ,     6.77      ,     6.77   
batchverify_tweak_checks_654946    ,     6.67      ,     6.71      ,     6.75   
batchverify_tweak_checks_785936    ,     6.73      ,     6.74      ,     6.76   
batchverify_tweak_checks_943124    ,     6.72      ,     6.72      ,     6.73   
